Code,Department,Expenditure Class,FY20 Actual,FY21 Adopted Budget,FY21 Current Target,FY22 Estimate,FY23 Estimate,FY24 Estimate,FY25 Estimate,FY26 Estimate
41,CITY REPRESENTATIVE,class_300_400,24746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,CITY REPRESENTATIVE,class_500,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,CITY REPRESENTATIVE,class_700,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,CITY REPRESENTATIVE,class_800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,CITY REPRESENTATIVE,class_900,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,CITY REPRESENTATIVE,total,1029060,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,CITY TREASURER,class_100,1268936,1368170.0,1368170.0,1395075.0,1395075.0,1395075.0,1395075.0,1395075.0
40,CITY TREASURER,class_200,180610,193544.0,558544.0,193544.0,193544.0,193544.0,193544.0,193544.0
40,CITY TREASURER,class_300_400,6762,22224.0,22224.0,22224.0,22224.0,22224.0,22224.0,22224.0
40,CITY TREASURER,class_500,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,CITY TREASURER,class_700,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,CITY TREASURER,class_800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,CITY TREASURER,class_900,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,CITY TREASURER,total,1456308,1583938.0,1948938.0,1610843.0,1610843.0,1610843.0,1610843.0,1610843.0
55,CIVIL SERVICE COMMISSION,class_100,160826,177148.0,177148.0,177148.0,177148.0,177148.0,177148.0,177148.0
55,CIVIL SERVICE COMMISSION,class_200,29500,29500.0,29500.0,29500.0,29500.0,29500.0,29500.0,29500.0
55,CIVIL SERVICE COMMISSION,class_300_400,500,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0,1094.0
55,CIVIL SERVICE COMMISSION,class_500,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,CIVIL SERVICE COMMISSION,class_700,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,CIVIL SERVICE COMMISSION,class_800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,CIVIL SERVICE COMMISSION,class_900,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,CIVIL SERVICE COMMISSION,total,190826,207742.0,207742.0,207742.0,207742.0,207742.0,207742.0,207742.0
55L,CIVIL SERVICE COMMISSION - PROVISIONS FOR FUTURE LABOR AGREEMENTS,class_100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55L,CIVIL SERVICE COMMISSION - PROVISIONS FOR FUTURE LABOR AGREEMENTS,class_200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55L,CIVIL SERVICE COMMISSION - PROVISIONS FOR FUTURE LABOR AGREEMENTS,class_300_400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55L,CIVIL SERVICE COMMISSION - PROVISIONS FOR FUTURE LABOR AGREEMENTS,class_500,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55L,CIVIL SERVICE COMMISSION - PROVISIONS FOR FUTURE LABOR AGREEMENTS,class_700,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
