Code,Department,Expenditure Class,FY22 Actual,FY23 Adopted Budget,FY23 Current Target,FY24 Estimate,FY25 Estimate,FY26 Estimate,FY27 Estimate,FY28 Estimate
34,ART MUSEUM SUBSIDY,class_100,0,0,0,0,0,0,0,0.0
34,ART MUSEUM SUBSIDY,class_200,0,0,0,0,0,0,0,0.0
34,ART MUSEUM SUBSIDY,class_300_400,0,0,0,0,0,0,0,0.0
34,ART MUSEUM SUBSIDY,class_500,2040000,2040000,2040000,2142000,2142000,2142000,2142000,2142000.0
34,ART MUSEUM SUBSIDY,class_700,0,0,0,0,0,0,0,0.0
34,ART MUSEUM SUBSIDY,class_800,0,0,0,0,0,0,0,0.0
34,ART MUSEUM SUBSIDY,class_900,0,0,0,0,0,0,0,0.0
34,ART MUSEUM SUBSIDY,total,2040000,2040000,2040000,2142000,2142000,2142000,2142000,2142000.0
61,AUDITING,class_100,9523506,10285869,10300191,10599672,10599672,10599672,10599672,10599672.0
61,AUDITING,class_200,469764,497450,497450,508573,508573,508573,508573,508573.0
61,AUDITING,class_300_400,11908,25000,25000,40000,40000,40000,40000,40000.0
61,AUDITING,class_500,0,0,0,0,0,0,0,0.0
61,AUDITING,class_700,0,0,0,0,0,0,0,0.0
61,AUDITING,class_800,0,0,0,0,0,0,0,0.0
61,AUDITING,class_900,0,0,0,0,0,0,0,0.0
61,AUDITING,total,10005178,10808319,10822641,11148245,11148245,11148245,11148245,11148245.0
45,BOARD OF ETHICS,class_100,848155,1121902,1082835,1322433,1322433,1322433,1322433,1322433.0
45,BOARD OF ETHICS,class_200,10614,52500,97500,52500,52500,52500,52500,52500.0
45,BOARD OF ETHICS,class_300_400,0,7500,7500,7500,7500,7500,7500,7500.0
45,BOARD OF ETHICS,class_500,0,0,0,0,0,0,0,0.0
45,BOARD OF ETHICS,class_700,0,0,0,0,0,0,0,0.0
45,BOARD OF ETHICS,class_800,0,0,0,0,0,0,0,0.0
45,BOARD OF ETHICS,class_900,0,0,0,0,0,0,0,0.0
45,BOARD OF ETHICS,total,858769,1181902,1187835,1382433,1382433,1382433,1382433,1382433.0
63,BOARD OF REVISION OF TAXES,class_100,988226,1057610,1064422,1089023,1089023,1089023,1089023,1089023.0
63,BOARD OF REVISION OF TAXES,class_200,35454,37900,62900,80681,40681,40681,40681,40681.0
