Code,Department,Expenditure Class,FY19 Actual,FY20 Adopted Budget,FY20 Current Target,FY21 Estimate,FY22 Estimate,FY23 Estimate,FY24 Estimate,FY25 Estimate
34,ART MUSEUM SUBSIDY,class_100,0,0,0,0.0,0.0,0.0,0.0,0.0
34,ART MUSEUM SUBSIDY,class_200,0,0,0,0.0,0.0,0.0,0.0,0.0
34,ART MUSEUM SUBSIDY,class_300_400,0,0,0,0.0,0.0,0.0,0.0,0.0
34,ART MUSEUM SUBSIDY,class_500,2550000,2550000,2550000,2040000.0,2040000.0,2040000.0,2550000.0,2550000.0
34,ART MUSEUM SUBSIDY,class_700,0,0,0,0.0,0.0,0.0,0.0,0.0
34,ART MUSEUM SUBSIDY,class_800,0,0,0,0.0,0.0,0.0,0.0,0.0
34,ART MUSEUM SUBSIDY,class_900,0,0,0,0.0,0.0,0.0,0.0,0.0
34,ART MUSEUM SUBSIDY,total,2550000,2550000,2550000,2040000.0,2040000.0,2040000.0,2550000.0,2550000.0
18,ATWATER KENT MUSEUM,class_100,0,0,0,0.0,0.0,0.0,0.0,0.0
18,ATWATER KENT MUSEUM,class_200,0,0,0,0.0,0.0,0.0,0.0,0.0
18,ATWATER KENT MUSEUM,class_300_400,0,0,0,0.0,0.0,0.0,0.0,0.0
18,ATWATER KENT MUSEUM,class_500,250000,0,0,0.0,0.0,0.0,0.0,0.0
18,ATWATER KENT MUSEUM,class_700,0,0,0,0.0,0.0,0.0,0.0,0.0
18,ATWATER KENT MUSEUM,class_800,0,0,0,0.0,0.0,0.0,0.0,0.0
18,ATWATER KENT MUSEUM,class_900,0,0,0,0.0,0.0,0.0,0.0,0.0
18,ATWATER KENT MUSEUM,total,250000,0,0,0.0,0.0,0.0,0.0,0.0
61,AUDITING,class_100,8650965,8862100,9522372,9045839.0,9045839.0,9045839.0,9617653.0,9617653.0
61,AUDITING,class_200,376030,497450,497450,497450.0,497450.0,497450.0,497450.0,497450.0
61,AUDITING,class_300_400,24427,25000,25000,25000.0,25000.0,25000.0,25000.0,25000.0
61,AUDITING,class_500,0,0,0,0.0,0.0,0.0,0.0,0.0
61,AUDITING,class_700,0,0,0,0.0,0.0,0.0,0.0,0.0
61,AUDITING,class_800,0,0,0,0.0,0.0,0.0,0.0,0.0
61,AUDITING,class_900,0,0,0,0.0,0.0,0.0,0.0,0.0
61,AUDITING,total,9051422,9384550,10044822,9568289.0,9568289.0,9568289.0,10140103.0,10140103.0
45,BOARD OF ETHICS,class_100,875033,1041630,1044071,915196.0,915196.0,1045764.0,1045764.0,1045764.0
45,BOARD OF ETHICS,class_200,43538,52500,52500,52500.0,52500.0,52500.0,52500.0,52500.0
45,BOARD OF ETHICS,class_300_400,7067,7500,7500,7500.0,7500.0,7500.0,7500.0,7500.0
45,BOARD OF ETHICS,class_500,0,0,0,0.0,0.0,0.0,0.0,0.0
45,BOARD OF ETHICS,class_700,0,0,0,0.0,0.0,0.0,0.0,0.0
45,BOARD OF ETHICS,class_800,0,0,0,0.0,0.0,0.0,0.0,0.0
45,BOARD OF ETHICS,class_900,0,0,0,0.0,0.0,0.0,0.0,0.0
45,BOARD OF ETHICS,total,925638,1101630,1104071,975196.0,975196.0,1105764.0,1105764.0,1105764.0
63,BOARD OF REVISION OF TAXES,class_100,928286,962864,997459,987587.0,997835.0,997835.0,997835.0,997835.0
63,BOARD OF REVISION OF TAXES,class_200,34658,75200,42900,37900.0,37900.0,37900.0,42900.0,42900.0
63,BOARD OF REVISION OF TAXES,class_300_400,15408,22727,22727,17727.0,17727.0,17727.0,22727.0,22727.0
63,BOARD OF REVISION OF TAXES,class_500,0,0,0,0.0,0.0,0.0,0.0,0.0
63,BOARD OF REVISION OF TAXES,class_700,0,0,0,0.0,0.0,0.0,0.0,0.0
63,BOARD OF REVISION OF TAXES,class_800,0,0,0,0.0,0.0,0.0,0.0,0.0
63,BOARD OF REVISION OF TAXES,class_900,0,0,0,0.0,0.0,0.0,0.0,0.0
63,BOARD OF REVISION OF TAXES,total,978352,1060791,1063086,1043214.0,1053462.0,1053462.0,1063462.0,1063462.0
73,CITY COMMISSIONERS,class_100,5830533,6633233,6690419,6714174.0,6714174.0,6714174.0,10153132.0,9653132.0
73,CITY COMMISSIONERS,class_200,5028766,5011061,5011061,5011061.0,4861061.0,4861061.0,6713929.0,4445061.0
73,CITY COMMISSIONERS,class_300_400,5270120,572617,572617,572617.0,541617.0,541617.0,5634635.0,572617.0
73,CITY COMMISSIONERS,class_500,357500,0,0,0.0,0.0,0.0,0.0,0.0
73,CITY COMMISSIONERS,class_700,0,0,0,0.0,0.0,0.0,0.0,0.0
73,CITY COMMISSIONERS,class_800,0,0,0,0.0,0.0,0.0,0.0,0.0
73,CITY COMMISSIONERS,class_900,0,0,0,0.0,0.0,0.0,0.0,0.0
73,CITY COMMISSIONERS,total,16486919,12216911,12274097,12297852.0,12116852.0,12116852.0,22501696.0,14670810.0
01,CITY COUNCIL,class_100,14104805,15427138,15627138,14877138.0,14877138.0,15627138.0,15627138.0,15627138.0
01,CITY COUNCIL,class_200,1931455,1971885,2446885,1976885.0,1976885.0,2126885.0,2126885.0,2126885.0
01,CITY COUNCIL,class_300_400,499331,528650,603650,428650.0,428650.0,528650.0,528650.0,528650.0
01,CITY COUNCIL,class_500,1740,100,100,25000100.0,100.0,100.0,100.0,100.0
01,CITY COUNCIL,class_700,0,0,0,0.0,0.0,0.0,0.0,0.0
01,CITY COUNCIL,class_800,0,100,100,100.0,100.0,100.0,100.0,100.0
01,CITY COUNCIL,class_900,0,100,100,100.0,100.0,100.0,100.0,100.0
01,CITY COUNCIL,total,16537331,17927973,18677973,42282973.0,17282973.0,18282973.0,18282973.0,18282973.0
41,CITY REPRESENTATIVE,class_100,714833,795916,830942,0.0,0.0,0.0,0.0,0.0
41,CITY REPRESENTATIVE,class_200,306555,399779,399779,0.0,0.0,0.0,0.0,0.0
41,CITY REPRESENTATIVE,class_300_400,12712,54000,54000,0.0,0.0,0.0,0.0,0.0
41,CITY REPRESENTATIVE,class_500,0,0,0,0.0,0.0,0.0,0.0,0.0
41,CITY REPRESENTATIVE,class_700,0,0,0,0.0,0.0,0.0,0.0,0.0
41,CITY REPRESENTATIVE,class_800,0,0,0,0.0,0.0,0.0,0.0,0.0
41,CITY REPRESENTATIVE,class_900,0,0,0,0.0,0.0,0.0,0.0,0.0
41,CITY REPRESENTATIVE,total,1034100,1249695,1284721,0.0,0.0,0.0,0.0,0.0
40,CITY TREASURER,class_100,1098380,1262499,1295117,1368170.0,1395075.0,1395075.0,1490075.0,1490075.0
40,CITY TREASURER,class_200,535106,198444,198444,193544.0,193544.0,193544.0,199444.0,199444.0
40,CITY TREASURER,class_300_400,18925,22224,22224,22224.0,22224.0,22224.0,22224.0,22224.0
40,CITY TREASURER,class_500,0,0,0,0.0,0.0,0.0,0.0,0.0
40,CITY TREASURER,class_700,0,0,0,0.0,0.0,0.0,0.0,0.0
40,CITY TREASURER,class_800,0,0,0,0.0,0.0,0.0,0.0,0.0
